FLEXMATCHES — PRODUCT BACKLOG (JIRA-Style),,,,,,,,,,,,,,,
Key,Type,Epic,Summary,User Story,MoSCoW,Priority,Points,Sprint,Assignee,Status,Acceptance Criteria (Given/When/Then),QA Verification Tasks,QA DoD Checklist,UI/Design Requirements,Story-Specific DoD (beyond standard)
E01,Epic,—,Critical Error Handling,Epic: Critical Error Handling,,,,,,,,,,,
FM-101,Story,E01,Global Error Handling on All Screen Load Functions,"As a user, I want every screen to recover gracefully from network failures, so that I never see an infinite loading spinner with no escape.",Must Have,P0,8,Eagle 0,Senior Dev,To Do,"AC1: Given any of these 10 screens is loading data: Home, Discover, Messages, Matches, Profile, Feed, Activity, Goals, Leaderboard, Challenges — When a Supabase query fails or network is unavailable, Then the ErrorState component (from FM-103) is shown with 'Try Again' button

AC2: Given the ErrorState is displayed on a screen, When the user taps 'Try Again', Then the load() function re-invokes, the ErrorState disappears, and the skeleton loader appears

AC3: Given a retry also fails, When the error occurs again, Then the ErrorState shows again (no infinite retry loop, no infinite skeleton)

AC4: Given a screen uses pull-to-refresh (RefreshControl), When the refresh fails, Then the existing data stays on screen (NOT replaced by ErrorState), and a toast shows 'Could not refresh. Please try again.'

AC5: Given any screen's load() function, When inspecting the code, Then every Promise.all is wrapped in try/catch, errors are logged with screen name prefix (e.g. '[Home] load failed'), and setLoading(false) is in a finally block

AC6: Given a skeleton loader is displayed, When 15 seconds pass without data or error, Then the ErrorState is shown automatically (timeout fallback)","QA must verify error state on ALL 10 screens:
? 1. Home (app/(tabs)/home.tsx)
? 2. Discover (app/(tabs)/discover.tsx)
? 3. Messages (app/(tabs)/messages.tsx)
? 4. Matches (app/(tabs)/matches.tsx)
? 5. Profile (app/(tabs)/profile.tsx)
? 6. Feed (app/(tabs)/feed.tsx)
? 7. Activity (app/(tabs)/activity.tsx)
? 8. Goals (app/(tabs)/goals.tsx)
? 9. Leaderboard (app/(tabs)/leaderboard.tsx)
? 10. Challenges (app/(tabs)/challenges.tsx)

Per screen test steps:
• Turn on airplane mode ? open screen ? verify ErrorState shows
• Tap 'Try Again' with network restored ? verify data loads
• Pull-to-refresh with network off ? verify existing data stays + toast appears
• Verify no console errors or unhandled promise rejections
• Verify skeleton loader never shows longer than 15 seconds","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? DESIGN NEEDED:
• Uses ErrorState component from FM-103 (must be designed first)
• Error state must be visually consistent across all 10 screens
• Skeleton ? ErrorState transition: no flash, smooth replace
• Pull-to-refresh failure toast: standard toast style

Designer delivers:
• Approve ErrorState placement in each screen type (scrollable vs fixed)
• Toast design for refresh failures

?? DEPENDENCY: FM-103 must be completed first (creates ErrorState.tsx)","? All 10 screens have try/catch in load()
? Each screen uses ErrorState from components/ui/ErrorState.tsx
? Each screen has 3 states: loading (skeleton), success (data), error (ErrorState)
? Pull-to-refresh failure shows toast, does NOT replace existing data
? Skeleton timeout of 15 seconds triggers ErrorState
? Error logs include screen name prefix: '[Home] load failed:'
? setLoading(false) is in finally block (not in try or catch)
? ErrorState tested on all 10 screens in BOTH themes
? No unhandled promise rejections in console
? Retry from ErrorState successfully loads data when network returns

?? BLOCKER: Cannot start until FM-103 (ErrorState component) is Done"
FM-102,Story,E01,Chat Message Send with Error Recovery,"As a user, I want my typed message preserved if sending fails, so that I don't lose what I wrote.",Must Have,P0,5,Eagle 0,Senior Dev,To Do,"AC1: Given I have typed a message in chat, When I tap send and the Supabase insert fails, Then my typed text remains in the input field and a toast says 'Message failed to send'

AC2: Given a message failed to send, When I see the failed message indicator, Then I can tap retry to re-attempt the insert with the same content

AC3: Given I tap send, When the async operation is in progress, Then the send button shows a spinner and is disabled to prevent double-send","• Verify text is NOT cleared from input until insert returns success
• Verify failed message shows red error indicator in chat list
• Verify double-tap on send does not create duplicate messages
• Verify retry on failed message successfully sends when network is restored","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? DESIGN NEEDED:
• Failed message indicator (red icon/border in chat bubble)
• Retry affordance on failed message
• Send button loading spinner style

Designer delivers: Failed message state mockup","? Failed message shows distinct visual indicator
? Retry action is discoverable
? Send button loading state prevents double-send
? Original text preserved in input on failure
? Toast/alert message copy reviewed by PO"
FM-103,Story,E01,React Error Boundary in Root Layout,"As a user, I want the app to show a recovery screen instead of crashing, so that I can continue using the app after an unexpected error.",Must Have,P0,3,Eagle 0,Mid Dev,To Do,"AC1: Given any unhandled JavaScript error occurs in the component tree, When the error propagates to the root layout, Then a full-screen error view shows with 'Something went wrong' and a 'Restart' button

AC2: Given the error screen is displayed, When I tap 'Restart', Then the error boundary resets and the app re-renders to the last working screen

AC3: Given any crash scenario, When the error screen appears, Then no raw error text, stack traces, or technical jargon are visible to the user

AC4: Given a network error (not a JS crash), When a screen's load() fails, Then the Error Boundary does NOT trigger — individual screen ErrorState handles it instead

AC5: Given the ErrorState component is created, When it renders, Then it uses theme colors (useTheme), accepts onRetry callback, and shows icon + message + 'Try Again' button","• Trigger a deliberate JS error by adding `throw new Error('test')` in a component render — verify boundary catches it
• Verify restart button recovers the app to Home screen in usable state
• Verify error is logged to console (console.error) for debugging
• Verify no user-facing technical jargon in the error screen
• Verify network errors do NOT trigger the error boundary (they use ErrorState instead)
• Verify ErrorState component renders correctly in BOTH dark and light themes
• Verify ErrorState 'Try Again' button has loading state while retrying","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? DESIGN NEEDED (2 components):

1. ErrorBoundary crash screen:
   • Full-screen centered layout
   • Illustration or icon (?? or custom)
   • Title: 'Something went wrong'
   • Subtitle: 'The app ran into an unexpected problem'
   • 'Restart' button (primary style)
   • Must NOT show any error details

2. ErrorState reusable component:
   • Centered in parent container (not full-screen)
   • Error icon
   • Message: 'Something went wrong' (customizable via prop)
   • 'Try Again' button with loading state
   • Both themes supported

Designer delivers: Mockup of BOTH components before dev starts","? ErrorBoundary wraps root navigation in _layout.tsx
? ErrorBoundary catches JS crashes ? shows crash screen
? ErrorState.tsx created at components/ui/ErrorState.tsx
? ErrorState accepts: onRetry, message (optional) props
? ErrorState uses useTheme() — zero hardcoded colors
? Restart button recovers app to usable state
? No raw error text or stack traces visible to user
? Error logged to console for debugging
? Both components look correct in dark AND light theme
? Network errors do NOT trigger ErrorBoundary"
FM-104,Story,E01,Session Action Error Handling,"As a user, I want session actions to confirm success before updating the UI, so that I always know the real status of my sessions.",Must Have,P0,5,Eagle 0,Senior Dev,To Do,"AC1: Given I tap Accept/Decline/Cancel/Confirm on a session, When the Supabase update returns an error, Then a toast shows 'Could not update session. Please try again.' and the UI state remains unchanged

AC2: Given I tap any session action button, When the async call is in progress, Then the button shows a loading spinner and is disabled

AC3: Given I rapidly tap an action button twice, When the first request is in-flight, Then only one server request is made","• Verify all 5 session actions (propose/accept/decline/cancel/confirm) handle errors
• Verify UI does not change until server confirms success
• Verify double-tap prevention on all session action buttons","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? MINIMAL DESIGN:
• Loading spinner on session action buttons (Accept/Decline/Cancel/Confirm)
• Disabled button state during async
• Use existing button patterns

Designer review: Not needed (uses existing patterns)","? All 5 session actions handle errors with toast
? UI does NOT change until server confirms
? Double-tap prevention verified
? Button re-enables after failure"
E02,Epic,—,Data Safety & Destructive Actions,Epic: Data Safety & Destructive Actions,,,,,,,,,,,
FM-201,Story,E02,Separate Delete Messages from Unmatch,"As a user, I want 'Delete messages' and 'Unmatch' to be completely separate actions with confirmation, so that I never accidentally lose a connection.",Must Have,P0,5,Eagle 0,Senior Dev,To Do,"AC1: Given I swipe left on a conversation and tap 'Delete messages', When the confirmation dialog appears, Then it says 'Delete all messages with [Name]? The match will be preserved.' and only deletes messages, not the match

AC2: Given I swipe left on a conversation and tap 'Unmatch', When the confirmation dialog appears, Then it says 'Unmatch [Name]? This will permanently remove this connection and all messages. This cannot be undone.'

AC3: Given I tap 'Cancel' on either confirmation dialog, When the dialog closes, Then no data is changed and the conversation remains as-is

AC4: Given I confirm 'Unmatch', When the action completes, Then the match status is set to 'unmatched' (distinct from 'declined')","• Verify 'Delete messages' only removes messages, match row preserved
• Verify 'Unmatch' sets status='unmatched' not 'declined'
• Verify both actions show confirmation dialog before executing
• Verify Cancel on dialog makes no data changes
• Verify swipe actions are clearly labeled and visually distinct","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? DESIGN NEEDED:
• Confirmation dialog copy for 'Delete Messages'
• Confirmation dialog copy for 'Unmatch'
• Distinct visual treatment for the two swipe actions
• Destructive action uses red styling

Designer delivers: Dialog copy + swipe action layout","? 'Delete messages' only removes messages (match preserved)
? 'Unmatch' uses status='unmatched' not 'declined'
? Both dialogs have Cancel option
? Dialog copy reviewed and approved by PO
? Destructive button uses red/warning color"
FM-202,Story,E02,Account Deletion with Full Auth Cleanup,"As a user, I want account deletion to fully remove my data including auth credentials, so that I cannot log back in to a broken state.",Must Have,P0,5,Eagle 1,Senior Dev,To Do,"AC1: Given I tap 'Delete Account' in Settings, When the first dialog appears, Then it asks 'Are you sure? This permanently deletes all your data.'

AC2: Given I confirm the first dialog, When the second confirmation appears, Then I must type 'DELETE' to proceed

AC3: Given I confirm both dialogs, When the Edge Function executes, Then it deletes: profile row, push tokens, AND auth.users entry via auth.admin.deleteUser()

AC4: Given deletion succeeds, When I try to log in with the same email, Then authentication fails with 'No account found'

AC5: Given deletion fails (network error), When the error is shown, Then the Delete button re-enables and I can try again","• Verify two-step confirmation (dialog + type DELETE)
• Verify Edge Function deletes profile, tokens, and auth user
• Verify re-login with deleted email fails
• Verify delete button re-enables on failure (not stuck disabled)","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? DESIGN NEEDED:
• Two-step deletion confirmation flow
• Type 'DELETE' input design
• Account deletion success state

Designer delivers: Deletion flow mockup","? Two-step confirmation works
? Edge Function deletes profile + tokens + auth
? Re-login with deleted email fails
? Delete button re-enables on failure"
FM-203,Story,E02,Duplicate Match Request Prevention,"As a user, I want the app to prevent me from sending duplicate match requests, so that I don't accidentally spam someone.",Should Have,P1,3,Eagle 1,Mid Dev,To Do,"AC1: Given I have already sent a match request to User B, When I view User B's card in Discover or Search, Then the connect button shows 'Pending' instead of 'Connect'

AC2: Given User B has already accepted my match, When I view User B's card, Then the button shows 'Connected' and tapping opens chat

AC3: Given I tap Connect, When the request is being processed, Then the button immediately disables and shows a loading spinner","• Verify no duplicate rows in matches table for same user pair
• Verify button state reflects actual match status
• Verify this works across all connect entry points (Discover, Search, ProfileSheet)","? All ACs verified (happy + failure path)
? Loading/error/success states exist
? No console errors or warnings
? Tested on iOS + Android
? Code reviewed with 1+ approval
? Theme verified in dark + light mode
? No hardcoded colors
? Accessibility labels on new elements","?? MINIMAL DESIGN:
• 'Pending' and 'Connected' button states

Designer review: Button state variants","? No duplicate rows in matches table
? Button reflects actual match status
? Works across all connect entry points"
E03,Epic,—,Auth & Onboarding Fixes,Epic: Auth & Onboarding Fixes,,,,,,,,,,,
