FLEXMATCHES — RELEASE READINESS CHECKLIST,,,,,
#,Category,Check Item,Owner,Status,Notes
1,Code Quality,All sprint stories marked Done (DoD passed),PO + QA,,
2,Code Quality,No open P0 or P1 bugs,QA,,
3,Code Quality,No console errors or warnings in release build,Dev,,
4,Code Quality,TypeScript builds without errors,Dev,,
5,Testing,All UAT test cases passed,QA,,
6,Testing,Regression smoke test passed (critical paths),QA,,
7,Testing,Tested on iOS latest + Android latest,QA,,
8,Testing,Tested on small screen (iPhone SE or equivalent),QA,,
9,Testing,Dark mode + Light mode verified on all changed screens,QA,,
10,Security,No new RLS gaps introduced,Senior Dev,,
11,Security,No hardcoded secrets or API keys in code,Dev,,
12,Security,Push token handling verified (no leaks),QA,,
13,Release,Release notes written,BA,,
14,Release,Version number bumped in app.json,Dev,,
15,Release,EAS Build successful (iOS + Android),Dev,,
16,Release,App Store screenshots updated (if UI changed),PO,,
17,Release,Changelog / decision log updated,BA,,
18,Compliance,Terms & Privacy Policy links work,QA,,
19,Compliance,No App Store guideline violations,PO,,
20,Stakeholder,PO sprint review completed — all stories accepted,PO,,
21,Stakeholder,Retrospective completed — action items logged,Team,,
22,Rollback,Rollback plan documented (how to revert if critical bug found),Dev,,
23,Monitoring,Crash reporting active (Sentry or equivalent),Dev,,Not yet set up — add to Eagle 2+
24,Monitoring,Key analytics events firing correctly,Dev,,Not yet set up — add to Eagle 2+
